poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD009744,Jawaharlal Nehru Statue,Culture & Heritage,17.4964545,78.3929421,4856178849
HYD032747,pochamma thali temple,Religion,17.5155128,78.4268415,2852309669
HYD032415,Shirdi Sai Baba,Religion,17.3462586,78.5143063,2244374132
HYD032233,Mosque,Religion,17.4678559,78.3673463,4170788912
HYD032168,Manna Full Gospel Church,Religion,17.3227065,78.4028497,4180416299
HYD032419,Shiva Temple,Religion,17.3500661,78.5590085,3598386560
HYD032767,sai baba temple,Religion,17.38630374,78.43965566,1321359616
HYD032573,St. Andrew's Church Secunderbad,Religion,17.4444351,78.49858658,11033691564
HYD009758,Nehru statue,Culture & Heritage,17.3507099,78.4729016,306631592
HYD032314,Rahimia Masjid,Religion,17.41965136,78.4994778,2460272728
