source_poi_id,HYD035473,HYD006057,HYD006078,HYD034734,HYD031757,HYD035464,HYD031682,HYD006053,HYD006032,HYD031711
HYD035473,0.0,43.083335,44.099992,28.093457,31.770529,31.712995,25.805048,24.269761,38.313077,41.038792
HYD006057,42.484068,0.0,6.112117,28.173724,15.995414,15.93788,25.198834,19.142393,12.105675,4.303255
HYD006078,43.47271,5.938679,0.0,29.162366,16.984056,16.926522,26.187476,20.131035,7.308712,5.291896
HYD034734,26.609207,28.616942,29.633599,0.0,13.441073,13.383539,5.008992,15.361663,28.908129,26.572399
HYD031757,31.586928,16.47394,17.490597,13.063542,0.0,0.057534,10.088652,10.544425,19.350672,14.429397
HYD035464,31.529394,16.416405,17.433062,13.006008,0.057534,0.0,10.031118,10.486891,19.293137,14.371863
HYD031682,25.987985,24.629501,25.646158,5.042353,9.453633,9.396099,0.0,11.132651,24.679116,22.584959
HYD006053,24.218611,19.730995,20.747652,15.464364,10.435992,10.378458,11.067852,0.0,14.566646,17.686453
HYD006032,38.466784,12.139348,7.614854,29.294829,18.627011,18.569477,24.898317,14.928363,0.0,8.727631
HYD031711,40.765713,4.199881,4.74436,26.455369,14.277059,14.219525,23.480479,17.424038,9.492198,0.0
