poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD035605,Padmavathi tiffin center,Food,17.4111877,78.4924677,308938372
HYD035629,Tomb of Ibrahim Quli Qutub Shah,Culture & Heritage,17.393531199999998,78.39441403999999,3579910841
HYD001866,Coffee Cup,Food,17.4540512,78.4972913,3147189502
HYD002265,Raja Dhanrajgir Palace,Culture & Heritage,17.379922725925923,78.46561394814816,11046385832
HYD006839,Kirana store,Food,17.3764513,78.4674456,13266364916
HYD001839,Cafe Latte,Food,17.4648023,78.5032716,13397597124
HYD034027,delhi mitai vatika,Food,17.350833360000003,78.47335883999999,306631593
HYD000500,Arabian Bakers,Food,17.4763772,78.4821011,2789775349
HYD006842,RAM DEV,Food,17.4788996,78.4788571,2789775626
HYD034015,bawarchi hotel,Food,17.369113379999998,78.4295568,10277918617
HYD033194,Anand Bhavan (vegetarian),Food,17.3647568,78.475484,2460435072
HYD033281,Brickwood Pizza,Food,17.4412922,78.3884437,3164043341
HYD005688,Balaji Hyderabad Mithai Bhandar,Food,17.4413554,78.388307,5432894268
HYD001561,Bharkadevi ice creams,Food,17.4313958,78.5245684,2236750472
HYD034082,shagh house,Food,17.3961163,78.4250392,9948762346
HYD005870,Kings fast food center,Food,17.40994,78.5859655,310446915
HYD001814,Cafe Coffee Day,Food,17.4261299,78.4484993,3205890365
HYD006252,tiffin center,Food,17.4095536,78.5085243,2234498783
HYD035437,Sri Blaji Mithai Bhandar,Food,17.401776783333332,78.56254806666666,9870023324
HYD001892,Golden Point,Food,17.4230951,78.5121871,309707741
HYD033975,VV Tiffins,Food,17.4102345,78.4844177,13208835333
HYD000563,FB Bakers,Food,17.401588,78.5623272,9870023324
HYD009619,gandhi statue,Culture & Heritage,17.3924087,78.519186,12704197637
HYD033839,Simply south,Food,17.4426689,78.3571426,11041703515
HYD033411,Grand,Food,17.3882646,78.4770354,11041754359
HYD033174,Akhila Tiffins,Food,17.439792,78.441577,351846656
HYD000677,Tirumala bakery,Food,17.4991961,78.4763222,11118303525
HYD033729,Pizza Hut,Food,17.4308915,78.4211849,12136802560
HYD009594,Mahatma Gandhi statue,Culture & Heritage,17.3126268,78.4030886,2527794254
HYD000188,Kandukuri Veeresalingam,Culture & Heritage,17.4185623,78.4823255,2180033509
