source_poi_id,HYD032791,HYD031830,HYD032020,HYD032534,HYD032420,HYD032281,HYD031909,HYD032284,HYD031952,HYD031966,HYD032786,HYD031932,HYD032048,HYD032053,HYD032764,HYD032129,HYD032333,HYD032657,HYD032224,HYD032202,HYD032429,HYD032608,HYD032555,HYD032688,HYD032850,HYD032715,HYD032038,HYD032298,HYD032251,HYD031922
HYD032791,0.0,3.484576,7.731647,0.613211,22.907104,3.542639,12.186092,5.830493,12.42791,12.574458,11.155663,6.054495,6.797245,14.677304,7.348404,29.936665,6.866847,7.186001,14.511262,25.968701,27.280131,19.280438,17.573178,7.008273,10.223229,11.573586,11.295972,0.572738,17.230108,7.200023
HYD031830,3.575684,0.0,6.167801,3.209679,20.384793,6.121746,9.804537,6.931429,10.046356,10.052148,8.774109,8.471141,8.584508,12.29575,5.784559,29.526515,4.344537,8.973263,12.129708,24.404856,28.305213,16.758127,20.178485,8.795536,11.546965,9.192032,8.914418,3.106842,15.666263,8.921142
HYD032020,8.082658,5.760434,0.0,8.146051,17.901138,10.373041,12.186268,12.148756,13.242027,7.568493,13.712056,13.095466,10.303579,12.139105,0.8903,34.681803,6.13824,10.692335,14.511439,18.487258,33.460501,14.274472,22.62949,10.033057,16.764292,8.7053,8.691323,7.953542,9.748666,9.733892
HYD032534,0.613211,3.203727,7.94444,0.0,22.933636,3.029998,11.905242,5.296619,12.14706,12.60099,10.651503,5.534664,7.010039,14.396454,7.561198,29.416834,6.893379,7.398795,14.230413,26.181495,26.760299,19.306969,17.086736,7.221067,9.703398,11.292737,11.015122,0.205153,17.442902,7.412817
HYD032420,23.690723,20.849879,17.942567,23.482789,0.0,26.447364,15.486502,25.111688,16.785419,11.071706,19.110027,28.01195,27.207487,9.835767,17.707353,40.227906,17.138181,27.596243,16.916629,14.415135,39.006604,4.158701,39.533398,26.936964,27.327074,13.504233,13.594683,23.290281,14.939712,26.6378
HYD032281,3.536645,6.144298,10.885012,3.030699,25.874207,0.0,14.687418,4.197208,14.72281,15.541561,12.446775,3.000502,6.994776,17.17863,10.501769,26.882672,9.83395,7.441568,16.816693,29.122066,24.226137,22.247541,14.98489,8.338343,7.169235,14.074913,13.797298,3.145724,20.383473,8.757186
HYD031909,11.644556,9.537121,11.602123,11.27855,15.580767,14.130662,0.0,11.460887,1.947189,8.170796,4.352836,14.36115,16.65338,5.743368,11.36691,25.304158,9.75975,17.042135,3.620121,23.766567,24.082856,11.917916,26.913141,16.864407,12.615937,4.823298,4.580773,11.175713,17.744123,17.056158
HYD032284,5.624848,6.538673,12.379737,5.102539,25.432579,3.863052,12.288632,0.0,12.094222,15.164624,9.39858,3.150582,10.387383,15.592319,11.996495,25.082073,9.445996,10.834175,14.188105,29.675483,22.425538,21.769729,17.597864,11.5473,5.398707,12.488602,12.210988,5.217565,20.93689,11.73905
HYD031952,12.539408,10.431974,12.923985,12.173403,16.72498,15.025515,1.702283,11.966155,0.0,9.85641,4.044478,14.866417,17.548233,6.887582,12.688771,23.83958,11.081612,17.936988,2.477731,25.370854,22.618278,13.06213,26.773194,17.75926,12.47599,6.508911,6.266386,12.070566,19.258654,17.951011
HYD031966,12.956196,10.115352,7.572097,12.748262,10.894341,15.712837,8.760998,15.317308,9.967068,0.0,11.441912,17.584431,16.837018,5.162601,7.336884,32.714675,6.403654,17.225773,10.305495,16.586603,31.493373,7.267675,29.162929,16.566495,18.689706,4.260611,4.351061,12.555754,11.193406,16.26733
HYD032786,11.656129,9.548694,13.793149,11.290124,19.336164,12.27839,4.618306,8.529463,4.044478,11.647781,0.0,11.429725,16.664953,9.498766,13.557935,21.70845,10.383355,17.053709,5.596306,27.378462,20.487148,15.673314,23.219711,16.875981,8.922507,8.108192,7.751446,11.187287,20.127819,17.067731
HYD031932,5.868254,8.451506,13.21662,5.362307,27.892046,2.930196,14.748099,3.926934,14.553688,17.624091,11.723921,0.0,8.108525,18.051786,12.833378,24.423636,11.905463,8.555317,16.647571,31.453674,21.767101,24.229195,14.668594,10.340366,4.557528,14.948069,14.670454,5.477332,22.715082,10.835356
