source_poi_id,HYD001837,HYD005962,HYD033841,HYD009036,HYD001872,HYD005762,HYD006212,HYD005720,HYD005589,HYD003751
HYD001837,0.0,24.487792,13.745675,10.384715,15.055873,20.82934,9.090569,5.386509,20.366005,13.633005
HYD005962,24.467911,0.0,11.782326,15.361744,10.273336,4.345286,16.341453,20.573903,13.014993,12.064369
HYD033841,13.806291,11.543515,0.0,5.372146,2.597873,9.392124,6.23193,9.990788,10.235434,2.779698
HYD009036,9.841466,14.888853,5.320389,0.0,7.253159,14.712512,1.025875,7.768578,10.234612,5.919968
HYD001872,15.426903,11.316632,2.526035,7.28238,0.0,9.165241,7.906829,11.532895,10.250456,2.022119
HYD005762,20.890932,4.695353,9.102649,13.962302,6.955259,0.0,14.593812,16.996924,13.913525,8.746293
HYD006212,8.951873,15.548742,5.980277,1.496448,7.879775,15.372401,0.0,6.793623,11.513486,6.456906
HYD005720,5.293921,20.421234,10.178883,8.184823,11.282618,16.505537,6.79227,0.0,17.390897,9.487574
HYD005589,20.47261,12.759681,9.379811,10.936398,11.726248,13.309044,11.916107,17.641818,0.0,11.143508
HYD003751,13.885231,13.124389,2.998146,5.936141,2.391343,10.777075,6.523632,10.062651,11.397973,0.0
