source_poi_id,HYD000608,HYD009739,HYD005794,HYD000676,HYD000559,HYD000522,HYD005888,HYD005692,HYD000220,HYD002021,HYD005853,HYD001914,HYD033596,HYD001865,HYD033967,HYD005768,HYD033561,HYD005925,HYD033167,HYD005011
HYD000608,0.0,8.208221,20.125395,4.496712,11.037483,11.490003,24.018862,12.707895,17.050243,5.155312,11.314579,16.527065,7.502889,14.657697,21.348787,8.307965,16.60939,11.751892,13.437766,17.167091
HYD009739,8.847655,0.0,13.146197,12.2342,8.616927,3.281781,16.020948,11.67494,9.090873,13.582398,9.697106,14.827406,3.551382,13.452619,19.827011,0.41378,9.022555,4.3077,6.458568,9.169177
HYD005794,21.066803,14.3645,0.0,20.093338,22.518407,15.10583,15.342761,14.027949,19.528396,25.801546,23.520805,12.871307,16.972578,13.180551,13.982283,14.464244,21.236908,11.152571,7.874123,18.341719
HYD000676,3.816626,12.024847,19.718489,0.0,14.514864,15.306629,27.723961,10.046433,20.866869,7.293415,14.79196,13.234265,11.319515,11.792575,17.504251,12.124591,20.235387,15.495303,14.108689,20.983717
HYD000559,11.749534,8.552961,21.576237,14.37484,0.0,9.241398,18.337854,18.012359,8.522745,12.844511,1.149461,21.831529,6.70552,19.962161,26.653252,8.354284,6.41296,12.737741,14.888609,10.879446
HYD000522,12.014699,3.523552,13.998495,15.401244,8.860978,0.0,13.441486,14.855375,7.294588,16.749442,9.968043,18.007841,6.441112,16.633054,22.154592,3.304651,7.320268,4.563299,7.542914,7.23515
HYD005888,24.135207,15.872691,15.528116,27.29252,18.458334,13.254224,0.0,22.867389,10.345754,28.86995,19.307107,24.425138,18.352045,24.438307,26.60857,15.65379,13.173381,12.832855,13.655374,8.71059
HYD005692,12.723359,11.417821,13.89803,9.971464,18.443801,14.699602,23.37517,0.0,20.298387,17.108182,18.976984,3.90883,13.530186,2.039462,8.730553,11.517564,20.230069,11.888738,9.759898,20.376691
HYD000220,17.267612,8.94632,18.820566,20.654157,8.494963,7.064555,10.126565,20.580033,0.0,20.681444,9.297082,23.732499,10.81919,22.357712,28.253048,8.727419,3.055888,11.111596,14.032162,2.480307
HYD002021,5.871131,13.168453,25.085627,7.375527,11.83544,16.450235,28.944555,17.146964,19.688741,0.0,11.435906,20.453096,11.431245,19.011406,24.723082,13.268197,17.788033,16.712124,18.397998,22.092784
HYD005853,11.815055,8.897056,21.920332,14.089291,1.149461,10.082811,19.177506,18.07788,9.253701,12.034919,0.0,21.89705,6.771041,20.027682,26.718773,8.8585,6.821293,13.081836,15.232704,11.287778
HYD001914,16.463532,14.639093,12.966104,13.072339,22.1237,17.920875,25.070817,3.829833,23.519659,20.205512,22.656883,0.0,16.751458,2.102603,5.18322,14.738837,23.451342,13.876707,11.493947,23.533273
HYD033596,7.387679,2.44946,15.19847,10.774224,7.270408,5.731241,18.060661,12.443857,10.558573,12.122422,7.80359,16.263027,0.0,14.39366,21.08475,2.549203,10.490255,6.359974,8.510842,11.208891
HYD001865,15.053362,13.687549,13.673699,11.808269,20.71353,16.96933,25.245076,2.419663,22.568115,18.944987,21.246712,1.869367,15.799914,0.0,6.69109,13.787293,22.499797,13.758644,11.629804,22.646419
HYD033967,20.430343,19.166279,13.78841,16.770413,26.393419,22.291211,27.090262,8.099552,27.952792,23.903587,26.926602,5.013942,21.278644,6.14173,0.0,19.266023,27.978527,18.045352,14.766903,26.766115
HYD005768,8.884401,0.218901,13.365098,12.270946,8.306876,3.31713,15.710897,11.89384,8.780822,13.619144,9.387055,15.046306,3.588128,13.67152,20.045912,0.0,8.712505,4.526601,6.677469,8.859126
HYD033561,16.877544,9.392853,20.923642,20.144717,6.171836,8.002351,13.904682,20.711923,3.840527,18.52587,6.536689,23.864389,10.429122,22.489602,28.863994,9.173952,0.0,12.10498,15.106026,6.244265
HYD005925,11.664648,4.588537,9.786864,15.051193,12.270964,4.708152,13.264401,11.748833,11.570687,16.399391,13.378029,14.353829,7.196615,13.319752,17.710913,4.688281,11.596367,0.0,3.099235,10.662241
HYD033167,13.921575,6.966328,7.163579,13.637146,15.120235,8.000258,14.903468,9.212015,14.504599,18.656318,16.122633,11.49325,9.574406,10.782934,15.087628,7.066072,14.849017,3.754399,0.0,13.317922
HYD005011,18.074192,9.645212,18.222731,21.460737,10.943645,7.757096,8.772215,21.278926,2.480307,22.808935,11.330826,24.431392,12.124566,23.056605,27.655213,9.426311,5.445956,11.077666,13.474231,0.0
