source_poi_id,HYD035587,HYD031359,HYD035589,HYD003735,HYD000135,HYD003834,HYD005614,HYD005599,HYD003742,HYD005592
HYD035587,0.0,21.252328,9.345633,5.765147,24.769784,14.527431,10.511404,9.966787,13.095672,10.015767
HYD031359,22.122372,0.0,19.297197,24.107863,17.249227,12.44154,12.568701,15.048084,16.453682,15.097064
HYD035589,9.069456,18.856119,0.0,12.901323,20.46512,10.222767,8.485233,9.558624,12.998223,9.607604
HYD003735,5.519653,22.679474,12.771129,0.0,27.810501,17.568148,11.93855,10.297899,12.713941,10.346879
HYD000135,23.838262,16.520791,19.525491,26.938372,0.0,12.498147,21.107911,22.384796,25.502297,22.433776
HYD003834,14.583286,12.443598,10.270515,17.683396,12.768869,0.0,11.180442,12.66177,15.767717,12.71075
HYD005614,10.969229,11.867501,8.651563,12.097092,21.411369,11.807067,0.0,2.512281,4.622957,2.561261
HYD005599,10.207785,13.603538,10.369443,10.777869,23.266366,13.631298,3.338136,0.0,3.549173,0.04898
HYD003742,13.451344,15.589235,14.045636,12.99689,26.541852,16.93755,6.669901,5.61524,0.0,5.66422
HYD005592,10.182906,13.578659,10.344564,10.75299,23.241487,13.606419,3.313257,0.630264,3.524295,0.0
