source_poi_id,HYD031135,HYD006651,HYD036193,HYD036158,HYD031024,HYD031014,HYD006258,HYD030861,HYD036237,HYD009906
HYD031135,0.0,8.518245,14.828689,16.203012,16.332387,23.2291,25.433058,11.840706,4.686231,21.849279
HYD006651,9.914944,0.0,10.844219,15.26306,20.089523,31.13393,32.085989,13.031436,9.812342,29.218061
HYD036193,15.390024,11.017297,0.0,6.74737,16.793576,36.009526,31.99037,7.71043,17.771099,31.804389
HYD036158,16.243869,14.56922,6.271555,0.0,14.208491,36.863372,29.405286,6.118497,20.076363,30.27975
HYD031024,16.208333,19.353191,16.701649,14.905007,0.0,29.393003,16.673962,10.051103,20.146008,21.87895
HYD031014,22.988056,30.451771,35.549523,36.923846,29.434916,0.0,19.945458,32.119562,23.402212,10.454145
HYD006258,25.749604,31.744617,31.227581,29.430939,16.108843,19.696324,0.0,24.577035,27.230651,11.158116
HYD030861,12.384938,13.119497,7.50967,6.210561,10.082744,31.700051,25.279539,0.0,16.217432,25.145234
HYD036237,4.671458,10.188668,17.336151,20.118608,20.247983,24.017674,27.639897,15.756302,0.0,23.041804
HYD009906,21.431756,28.895471,32.169232,30.689972,21.733584,10.423495,11.107879,25.448508,22.73257,0.0
