source_poi_id,HYD035321,HYD035283,HYD035211,HYD004295,HYD035131,HYD035184,HYD004499,HYD034696,HYD035377,HYD005174
HYD035321,0.0,14.840985,12.850158,16.601905,6.42627,0.804117,11.568575,15.171813,18.869284,22.215584
HYD035283,14.383235,0.0,24.316662,4.007137,12.737711,14.245634,21.991931,1.178717,5.793226,10.347989
HYD035211,13.887571,25.112442,0.0,25.190022,13.175979,13.679028,3.48061,25.44327,29.140742,33.579469
HYD004295,16.929457,4.01224,24.635749,0.0,12.738476,17.066878,22.272473,4.708961,9.180918,13.735681
HYD035131,6.319999,12.889549,12.661826,12.527367,0.0,6.978191,9.765081,13.220377,16.917849,21.356575
HYD035184,0.915278,15.166768,12.358586,17.371257,7.256293,0.0,11.077004,15.497595,19.195067,22.541367
HYD004499,11.479072,21.971122,3.810406,22.055657,9.724422,11.608719,0.0,22.30195,25.999422,30.438148
HYD034696,14.51078,1.189261,24.444207,5.196399,12.865256,14.373179,22.119476,0.0,4.62904,9.183803
HYD035377,19.143004,5.828105,29.076431,9.283754,17.497479,19.005402,26.751699,5.126484,0.0,4.798005
HYD005174,22.215223,9.936159,32.759626,13.391808,21.431701,22.077621,30.434895,9.234538,5.212998,0.0
