source_poi_id,HYD009744,HYD032747,HYD032415,HYD032233,HYD032168,HYD032419,HYD032767,HYD032573,HYD009758,HYD032314
HYD009744,0.0,5.387879,23.468848,6.564282,24.873504,27.410823,16.5587,14.299754,20.913583,16.668152
HYD032747,5.604733,0.0,24.338109,11.492901,26.774826,28.280083,17.42796,14.364368,21.782843,17.020213
HYD032415,23.686539,24.869096,0.0,25.774326,14.542688,5.681094,10.479131,14.019839,5.444905,10.186267
HYD032233,6.590643,11.583391,24.374181,0.0,20.410263,28.504165,14.228517,17.66727,20.33867,19.302631
HYD032168,24.3908,26.825053,14.859155,22.60293,0.0,20.046241,9.859455,20.630599,10.398593,18.1923
HYD032419,27.578746,28.761302,5.662696,29.937398,19.755083,0.0,15.124018,15.598831,10.61974,13.676858
HYD032767,17.210082,18.392639,10.38909,15.529811,9.421401,15.418062,0.0,11.483514,6.292525,9.402751
HYD032573,14.335521,14.396117,13.610751,17.7866,20.149448,15.061777,10.800262,0.0,12.598929,3.896071
HYD009758,20.734206,21.916763,5.465265,21.670548,10.152455,10.63742,6.331099,12.828186,0.0,9.54304
HYD032314,16.606793,17.045505,10.089508,19.53692,18.620001,13.225818,9.338418,4.18914,9.420246,0.0
