poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD030888,Chatrapathi Shivaji Park,Nature & Outdoors,17.533193900000004,78.3929166,2780887973
HYD036265,Timber Lake,Nature & Outdoors,17.3713343,78.35351489534884,11301443662
HYD031230,ga venture 1 colony park,Nature & Outdoors,17.36218342,78.51749948,312810238
HYD031151,Scidmore Park,Nature & Outdoors,17.304963107142857,78.51450921428571,7686765855
HYD031222,colony park,Nature & Outdoors,17.376455299999996,78.51108497999999,2241233411
HYD031209,apau colony park,Nature & Outdoors,17.365505583333334,78.51922775,2243962836
HYD031267,nehur park,Nature & Outdoors,17.399669859999996,78.54002666,9869711807
HYD009103,Pedestrian Refuge,Nature & Outdoors,17.368674780000003,78.46890512,3791315000
HYD036280,park pond,Nature & Outdoors,17.401386718181815,78.45080671818181,9704990273
HYD036260,Singos Tank,Nature & Outdoors,17.349788931249996,78.44393524166668,312788760
HYD036252,SP2,Nature & Outdoors,17.4981357,78.58865498,4286053751
HYD030889,Childern's Park,Nature & Outdoors,17.3036819625,78.516452225,3602491684
HYD030851,AG Colony Park-2,Nature & Outdoors,17.4469152,78.4286336,1750003750
HYD031201,Vittal Rao Nagar Park,Nature & Outdoors,17.44431683846154,78.38501927692309,349270029
HYD031136,Sainikpuri Children's Park,Nature & Outdoors,17.4876252,78.54636382,1448159649
HYD030900,Chilkalguda Park,Nature & Outdoors,17.4255364,78.5119056,12404435132
HYD031043,Lawns in front of Admin Block,Nature & Outdoors,17.496870783333335,78.39262013333332,7683005492
HYD030985,HMT Lake Park,Nature & Outdoors,17.42237332941177,78.55007518235293,10559326587
HYD030983,HIG Park,Nature & Outdoors,17.48961612,78.34952872000001,2231795143
HYD035687,Jagruti Tree,Nature & Outdoors,17.4452318,78.3504289,2258224439
HYD031248,jurrasic park,Nature & Outdoors,17.3471311,78.4488768,2857756290
HYD030932,GHMC PARK,Nature & Outdoors,17.40606782,78.48063134,2847575140
HYD031221,childrens park,Nature & Outdoors,17.3503764,78.4501795,6440105812
HYD030976,Green park,Nature & Outdoors,17.490974833333336,78.55996235,2231531830
HYD031074,Nagina Bagh,Nature & Outdoors,17.384970744444445,78.40197624444444,3579909428
HYD031262,monkeys location,Nature & Outdoors,17.40230374,78.454926,7713480697
HYD031044,Laxmi nagar colony park,Nature & Outdoors,17.3702294,78.5423722,10828983448
HYD030866,Army Childrens park,Nature & Outdoors,17.4884883,78.5084377,3598276578
HYD031242,jagruthi colony park,Nature & Outdoors,17.4664516,78.3647693,13371265277
HYD036154,Ambedkar nagar lake,Nature & Outdoors,17.5099810875,78.5866342,7680092940
