source_poi_id,HYD000187,HYD000162,HYD035634,HYD000144,HYD000184,HYD006813,HYD000222,HYD009624,HYD009773,HYD009771
HYD000187,0.0,30.00863,20.900097,17.256142,16.084996,13.129648,17.924322,13.126857,17.950791,15.858222
HYD000162,28.82825,0.0,15.337732,15.910587,15.169893,24.249752,28.661111,22.82108,14.70348,14.64713
HYD035634,18.86931,15.518916,0.0,4.0849,9.8747,12.919008,26.083865,18.541195,3.444975,7.50957
HYD000144,15.115831,15.603766,4.023819,0.0,6.475039,9.084686,22.684204,15.141534,1.586,4.109909
HYD000184,15.635484,15.232797,9.698269,6.472976,0.0,12.354169,17.329575,9.786905,6.253295,2.385133
HYD006813,11.928721,24.303511,13.20384,9.370109,12.828271,0.0,26.07442,17.854334,10.872316,11.40099
HYD000222,18.836753,28.395792,25.503322,22.278028,16.043988,26.028461,0.0,10.279184,22.058347,18.190185
HYD009624,14.177255,22.366227,18.489277,15.263984,9.029943,18.17496,10.335188,0.0,15.044302,11.17614
HYD009773,15.924393,14.461723,3.444975,1.580183,6.429726,10.492275,22.63889,15.096221,0.0,4.064595
HYD009771,14.855351,14.778518,7.941246,4.715953,2.36513,11.052639,18.574295,11.031625,4.496272,0.0
