poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD000187,Kakatiya Kala Toranam,Culture & Heritage,17.3867143,78.3517809,11971562284
HYD000162,Boduppal NTR Statue;NTR Statue,Culture & Heritage,17.412183,78.5856175,310446917
HYD035634,مقبرے پاگاہ,Culture & Heritage,17.3441394625,78.5037451375,3612546501
HYD000144,Moghalpura Tomb,Culture & Heritage,17.357317542857142,78.47641245714286,312796799
HYD000184,Iqbal Minar,Culture & Heritage,17.4067575,78.4675413,289904900
HYD006813,grave yard,Culture & Heritage,17.3346342,78.4101671,307042058
HYD000222,Telangana Martyrs Memorial,Culture & Heritage,17.5184889,78.39628744,8140736835
HYD009624,pjr statue,Culture & Heritage,17.4542506,78.4157488,3691106067
HYD009773,shaik faiz kaman,Culture & Heritage,17.3618204,78.4864271,308559908
HYD009771,gandhi bhavan,Culture & Heritage,17.3883677,78.4710398,2854799871
