source_poi_id,HYD032337,HYD032487,HYD032019,HYD032392,HYD032681,HYD032114,HYD032720,HYD031797,HYD032330,HYD032816,HYD032156,HYD032830,HYD032008,HYD032402,HYD032198,HYD032104,HYD032556,HYD032121,HYD003722,HYD032454
HYD032337,0.0,15.852682,13.537465,8.360456,13.931366,20.720437,22.55505,25.447434,19.473267,5.402082,12.503673,21.014758,5.832155,25.419588,21.690363,10.57095,25.42178,2.481092,15.101711,4.423376
HYD032487,15.466137,0.0,14.334612,22.469297,12.173929,14.427733,9.167268,19.817029,5.255626,11.010102,8.252486,15.7917,11.100281,18.754113,16.467304,11.357644,15.310538,15.13848,13.832463,13.294234
HYD032019,13.632871,14.26889,0.0,19.47641,3.935373,10.120019,17.942872,14.708056,16.135531,13.522345,6.289093,10.41434,8.326228,14.81917,10.758844,4.169977,17.455541,13.447766,3.619323,14.392976
HYD032392,8.779616,22.651939,18.692009,0.0,19.784044,26.573115,29.187656,31.050738,26.105873,12.132221,18.570677,26.867436,11.684833,31.272266,27.245984,16.423627,31.80336,8.062317,20.22464,10.163391
HYD032681,13.596458,11.976358,3.870304,19.643571,0.0,7.028006,14.595096,11.755003,13.600567,13.485932,6.204681,7.322327,8.289814,11.727157,7.997932,4.133563,13.915972,13.411352,2.751739,14.356563
HYD032114,20.649353,14.769919,10.462092,26.696467,7.242695,0.0,12.011657,6.200715,14.941056,20.538827,10.507081,2.766934,15.34271,5.899719,3.442538,11.186459,9.479597,20.464248,7.19359,21.409459
HYD032720,21.959964,9.351417,18.091527,29.099504,14.901458,11.961183,0.0,17.350479,5.12349,19.524177,12.009401,14.631524,17.480452,13.840403,15.307128,15.114559,7.480275,21.774859,16.409754,21.808309
HYD031797,25.089863,19.927758,14.075841,30.819968,12.057634,6.015843,17.169496,0.0,20.098895,24.979337,15.66492,4.990381,19.783219,3.791803,4.533071,15.626968,10.924064,24.904758,10.807339,25.849968
HYD032330,18.659568,5.818842,16.466751,25.799109,13.792889,14.710509,4.990695,20.099804,0.0,15.368533,10.384624,16.42735,14.180057,17.121613,17.102955,13.489783,12.339882,18.474463,15.451423,17.652665
HYD032816,5.270503,11.289269,13.327595,12.273663,12.987461,19.776532,19.504254,24.503529,15.422324,0.0,10.986473,20.070853,5.531456,24.475683,20.746457,9.627045,23.811068,4.942846,14.622099,2.789565
HYD032156,11.744502,9.065026,6.102822,18.363091,5.644443,11.068047,12.739008,16.457342,10.931668,11.090758,0.0,12.221142,6.739452,16.063688,12.896746,3.125855,14.317913,11.559397,7.397326,12.504608
HYD032830,20.209922,15.401811,9.195901,26.032455,7.177693,2.01082,13.960308,5.52913,16.256139,20.099396,11.073315,0.0,14.903279,5.991694,2.126018,10.747028,11.428249,20.024817,5.927398,20.970027
HYD032008,5.579967,11.833428,8.6772,11.767971,8.337066,15.126137,17.972378,19.853134,14.890595,5.469441,7.123699,15.420458,0.0,19.825288,16.096062,4.976649,20.356382,5.394862,9.971704,6.340073
HYD032402,25.405385,18.88096,14.391363,31.227918,12.228657,5.949425,13.789677,3.843187,17.1192,25.294859,15.493043,6.591459,20.098742,0.0,6.13415,15.94249,7.150459,25.22028,11.122861,26.16549
HYD032198,21.330915,16.522804,10.316893,26.913626,8.298686,3.131813,15.081301,4.559042,17.377132,21.220389,12.194307,1.120993,16.024271,6.078441,0.0,11.86802,12.549241,21.14581,7.048391,22.09102
HYD032104,10.249569,11.387582,4.195304,16.296682,3.813941,10.603012,15.061564,15.330009,13.254223,10.139043,3.407785,10.897333,4.942925,15.302163,11.572937,0.0,16.640468,10.064464,5.489808,11.009674
HYD032556,24.883737,15.27553,17.503423,32.023278,14.252669,9.713696,7.46958,10.553196,12.297303,24.233612,13.725374,12.384037,20.404226,6.887256,12.76612,16.830533,0.0,24.698632,14.984807,25.643843
HYD032121,3.020436,16.416617,14.91751,7.471116,14.577375,21.366446,23.118985,26.093443,20.037202,5.929521,13.067608,21.660767,7.12137,26.065597,22.336371,11.216959,25.985715,0.0,16.212014,3.960691
HYD003722,15.466055,14.665743,3.615575,20.199258,3.327194,6.500696,16.248008,11.088733,16.289952,15.355529,8.122277,6.795017,10.159412,11.199847,7.139521,6.003161,14.629461,15.28095,0.0,16.226161
HYD032454,4.382143,13.605975,14.326466,10.285423,13.986332,20.775403,21.820959,25.5024,17.739029,2.77666,12.476564,21.069724,6.530326,25.474554,21.745328,10.625915,25.394671,2.979936,15.62097,0.0
