poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD033632,Multi Cuisine Restaurant baghlingampally,Food,17.39752644,78.4979147,4176203831
HYD000694,mysore,Food,17.5061766,78.4668095,13335598252
HYD034013,annapoorna,Food,17.4692692,78.3656517,2210758042
HYD005820,Hot Chips,Food,17.443883,78.3870128,3164043356
HYD001987,Sree Balaji Sweet Shop,Food,17.4198866,78.5172634,309707235
HYD033599,Mayuri Restaurant,Food,17.5159742,78.3964478,1906537042
HYD002036,arch cafe,Food,17.3612924,78.544728,3612552262
HYD033633,Mumtaz Restaurant,Food,17.4199404,78.5165057,2234500134
HYD033905,TGI Fridays,Food,17.4837372,78.3889703,6150020414
HYD034019,cafe nandini,Food,17.4268355,78.415495,2570397494
HYD035573,SVC Theatre,Entertainment,17.513440700000004,78.28663322,4204212094
HYD006240,chat center,Food,17.4110374,78.5070876,308943092
HYD033542,Kritunga Restaurant,Food,17.4950007,78.3567882,11032189861
HYD033797,Sandarshini Udipi Veg,Food,17.4214948,78.5172782,9959179240
HYD033477,Hyderabad House,Food,17.4283844,78.4516679,2857325737
HYD033974,VENKATESHWARA TIFFINS CENTER,Food,17.531609,78.48773,11047931339
HYD033556,Lucky Restaurant,Food,17.4406202,78.3930877,3210142868
HYD003799,Sandhya cinemas,Entertainment,17.40701994,78.49734228,4262208470
HYD033674,Oysters Blue,Food,17.4582319,78.3661208,10573065561
HYD033573,Madura Indian Fusion Restaurant,Food,17.45087196,78.396677,7001266674
HYD005861,KFC,Food,17.36770512,78.54062456,1602516051
HYD005812,Galaxy fast food,Food,17.444654,78.5258126,4191488385
HYD005935,Shawarma,Food,17.4227071,78.5082157,309707733
HYD033865,Sri Lakshmi Restaurant,Food,17.4735501,78.5700593,3164348468
HYD033714,Pista House,Food,17.4979831,78.3903661,3602322235
HYD005779,Domino's,Food,17.4137534,78.3948527,9987395851
HYD005924,Rice Bowl,Food,17.4580828,78.3715746,12992046226
HYD033531,Krishnapatnam,Food,17.4299418,78.4113051,1948637920
HYD001807,CELEBRATIONS,Food,17.4800874,78.4754095,2789775765
HYD005970,Subway,Food,17.5371681,78.4893973,11061343499
