source_poi_id,HYD031166,HYD031242,HYD031687,HYD031654,HYD036260,HYD030851,HYD030969,HYD030994,HYD031159,HYD031784
HYD031166,0.0,29.633479,11.170976,15.309172,15.593818,22.012944,25.309404,23.239828,20.627879,16.71446
HYD031242,29.095939,0.0,25.274486,16.681637,20.139083,9.07613,5.090852,8.960761,9.482358,24.640634
HYD031687,10.803649,25.048734,0.0,8.776003,18.627707,16.859236,20.155696,18.260768,15.474171,6.343332
HYD031654,15.13851,16.977961,9.100729,0.0,13.186889,8.788463,12.084923,10.189995,7.403398,9.78946
HYD036260,15.462039,19.585642,18.849564,13.161751,0.0,15.10082,17.460867,16.199039,13.715755,21.707485
HYD030851,21.545776,9.198517,17.470858,8.878008,15.081823,0.0,4.262922,4.609378,1.521404,17.32581
HYD030969,24.823645,5.340299,20.526334,11.933484,18.05304,4.389484,0.0,4.342666,4.824598,19.969278
HYD030994,22.739753,9.167603,18.792117,10.199267,15.969148,4.383239,4.342666,0.0,3.504541,19.012819
HYD031159,20.140975,9.690601,16.116017,7.523167,13.684061,1.521322,4.817782,3.51641,0.0,16.336719
HYD031784,16.417828,23.564689,6.338804,9.725576,21.660128,17.071601,19.42423,19.210341,16.420625,0.0
