poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD001875,Coronation Cafe,Food,17.4063217,78.4653375,513021111
HYD033479,Hyderabad spice,Food,17.5185251,78.3965031,1906537069
HYD001892,Golden Point,Food,17.4230951,78.5121871,309707741
HYD033393,GHMC ANNAPURNA FOOD CENTER,Food,17.3974899,78.5121368,3415837326
HYD033331,De Alphabet Hotel,Food,17.4750539,78.5683028,5643839786
HYD006211,Mithai Bhandar& Veg Bakers,Food,17.4752592,78.5678448,1034536715
HYD000670,TAJ BAKERS,Food,17.39801714,78.534914,3612567304
HYD033804,Santhosh Family Dhaba,Food,17.4138568,78.3948337,9987395851
HYD035518,Global assam tea depot,Food,17.3951229,78.4333766,1314213030
HYD002007,Tea house,Food,17.4033357,78.4834177,315057063
HYD033473,Husnain hotel,Food,17.3678281,78.4829274,2461272681
HYD001818,Cafe Coffee Day,Food,17.3984645,78.4820951,11038795038
HYD009052,Naturals,Food,17.438583,78.3992291,3207184247
HYD033404,Godavari ruchulu,Food,17.4318064,78.4468436,353721639
HYD005774,Domino's,Food,17.4062952,78.4512832,309713917
HYD001780,sholay mutton shop,Food,17.395450959999998,78.53648966,1316991352
HYD000680,Vac's,Food,17.4007847,78.3386624,12800078118
HYD005920,RR Food court,Food,17.3913166,78.6072845,3598394356
HYD009037,Havmor,Food,17.3951187,78.4657045,7713015123
HYD001822,Cafe Coffee Day,Food,17.416347,78.4479294,1324198379
HYD005940,Siva Reddy Foods,Food,17.4931153,78.4039371,1437305488
HYD001909,Imroze Cafe,Food,17.4342826,78.4457999,289511426
HYD006828,Ramnagar Gundu Vegetable Market Place,Food,17.4080204,78.5123242,634130062
HYD033780,SRR Dickys,Food,17.397087,78.51172,636405426
HYD033417,Green Bawarchi,Food,17.4299491,78.4284395,7682659536
HYD005245,Milk shake factory,Food,17.4415455,78.3583761,1753608436
HYD033439,Hi-Tech Bawarchi,Food,17.4430468,78.3877611,7012080631
HYD033378,Fire Water,Food,17.4479014,78.3791248,827334259
HYD005845,KFC,Food,17.4227981,78.4623263,1762335425
HYD006221,Reddy Chicken,Food,17.4768224,78.5671753,3164348348
