source_poi_id,HYD009064,HYD009579,HYD033209,HYD006015,HYD033383,HYD005909,HYD001732,HYD033583,HYD000216,HYD033866
HYD009064,0.0,8.786905,18.587769,7.912763,22.398177,8.312739,11.076045,8.055749,9.032663,14.625267
HYD009579,8.682487,0.0,23.141759,11.468181,29.232704,15.381111,7.856581,15.982036,7.390113,18.902618
HYD033209,18.504377,22.996018,0.0,12.515313,24.621105,13.221826,27.866979,19.477994,26.557132,4.075438
HYD006015,9.480478,12.494933,12.246602,0.0,24.310545,7.07136,17.365894,15.011667,16.056047,8.007461
HYD033383,23.698845,29.642886,24.041521,24.264372,0.0,18.368698,27.051472,16.183943,24.051506,22.672264
HYD005909,7.189991,14.632072,12.843158,5.969265,18.750864,0.0,17.834123,9.451986,15.743123,8.67932
HYD001732,10.904472,8.149536,28.29122,16.617641,26.409012,19.007321,0.0,13.649219,4.660752,24.052079
HYD033583,9.03334,14.977381,20.055449,15.211237,15.370618,9.508542,12.385967,0.0,9.386001,17.1378
HYD000216,7.480798,9.142169,25.726803,14.785158,21.84259,15.583648,6.580915,9.082797,0.0,21.764301
HYD033866,14.638296,19.021505,4.656004,8.5408,23.416133,9.873775,23.892466,16.776027,22.582619,0.0
