source_poi_id,HYD032104,HYD032118,HYD032655,HYD031921,HYD032579,HYD032572,HYD032749,HYD032305,HYD031814,HYD032025
HYD032104,0.0,11.01393,6.411658,13.303488,9.015189,6.141233,8.458814,17.122057,12.575782,13.687541
HYD032118,11.094574,0.0,16.909242,23.801072,18.225311,16.464711,19.12312,7.537935,12.160147,9.865838
HYD032655,6.844226,17.071482,0.0,7.198765,5.925172,2.324496,3.087268,23.179609,18.633334,19.745093
HYD031921,13.592672,23.819927,7.202925,0.0,9.390715,8.068502,7.138276,29.928054,25.054411,26.493538
HYD032579,9.165364,17.449357,5.997324,9.371288,0.0,3.842945,7.68888,22.494172,20.954472,22.06623
HYD032572,6.766167,16.902359,2.5468,8.000889,3.712266,0.0,4.897242,22.770434,18.555275,19.667033
HYD032749,8.444962,19.217776,3.105141,6.768782,7.886078,4.79187,0.0,24.507573,18.818847,20.501582
HYD032305,17.249002,7.446214,23.207136,30.006873,22.934703,22.68234,24.447081,0.0,13.043957,9.897154
HYD031814,12.060427,11.476347,18.018561,24.910391,20.622091,17.748136,18.962105,13.434931,0.0,6.615734
HYD032025,12.076838,8.810272,18.034971,24.926801,20.638502,17.764546,18.978516,9.180403,5.991035,0.0
