poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD000608,Karachi Bakery,Food,17.4993387,78.4766368,13432069669
HYD009739,Clock Tower,Culture & Heritage,17.4409014,78.4985547,12313694313
HYD005794,Domino's,Food,17.368776566666668,78.42955803333334,10277918618
HYD000676,Tirumala Bakery,Food,17.5128056,78.4470261,3598284880
HYD000559,Delhi Mithai Wala,Food,17.4730509,78.5506463,2232017811
HYD000522,Bangalore Iyengar Bakery,Food,17.4216786,78.5169346,5608460085
HYD005888,McDonald's,Food,17.3426462,78.5560174,10750415453
HYD005692,Bread Shop,Food,17.4549262,78.4090464,2822548526
HYD000220,Swami Vivekananda Statue,Culture & Heritage,17.4212349,78.5642235,3598304605
HYD002021,Venkataramana Irani Chai Cafe,Food,17.5430347,78.4911353,13851802904
HYD005853,KFC,Food,17.4814935,78.5552246,978107619
HYD001914,Isabel,Food,17.4441112,78.3847992,352765073
HYD033596,Mayabazar Restaurant,Food,17.4609913,78.5007677,3207183147
HYD001865,Cliff Cafe,Food,17.45213752,78.39258878,3602307066
HYD033967,Under The Stars,Food,17.4468562,78.3533385,13350757501
HYD005768,Domino's,Food,17.4412304,78.5005384,3598259999
HYD033561,M.S Biryani Point,Food,17.4424955,78.5661074,3219918952
HYD005925,Ritik Kitchen,Food,17.4102721,78.4857809,5486709290
HYD033167,Afgan Darbar Resturant,Food,17.4030441,78.462246,1779031107
HYD005011,Agra Mithai Wala,Food,17.40167462,78.56668901999998,7710836467
