size,route_id,source,target,dijkstra_found,dijkstra_distance_km,dijkstra_time_ms,dijkstra_nodes_explored,astar_found,astar_distance_km,astar_time_ms,astar_nodes_explored
25K,1,6308232683,1610991622,True,6.163376105892431,23.751000000629574,8558,True,6.163376105892431,86.7316999938339,3418
25K,2,3598256371,13400278137,True,10.015736367478453,70.15360001241788,23418,True,10.015736367478453,48.127599991858006,8950
25K,3,2584868596,3612563541,True,6.6248355774648715,53.49489999935031,22124,True,6.6248355774648715,6.475800008047372,1456
25K,4,2236890105,2234831828,True,5.683304560184576,52.81920000561513,20306,True,5.683304560184576,13.728299993090332,2421
25K,5,13397018294,1596679795,True,8.562886263386861,92.81689999625087,22517,True,8.562886263386861,19.799000001512468,3834
25K,6,11865784763,13399536740,True,10.558687829617318,41.25140001997352,23840,True,10.558687829617318,46.59240000182763,14264
25K,7,10244212010,1594509942,True,7.357142968534771,33.96170001360588,17513,True,7.357142968534771,15.188799996394664,4524
25K,8,2585272013,3612562498,True,5.24915568695972,22.823100007371977,11988,True,5.24915568695972,10.291699989465997,3109
25K,9,2236748143,1939362373,True,8.5228285731808,30.08109997608699,15361,True,8.5228285731808,28.712399973301217,8557
25K,10,1595259542,2236749674,True,7.346393860704921,42.11790001136251,16983,True,7.346393860704921,14.353400008985773,3085
25K,11,2237001644,7328763338,True,2.2553895607200953,6.036200007656589,3465,True,2.2553895607200953,2.371699985815212,473
25K,12,11900664533,2240856270,True,9.06010725239109,54.102900001453236,23295,True,9.06010725239109,28.37559999898076,5067
25K,13,7677199885,2241238841,True,8.539843125889094,86.31189999869093,24834,True,8.539843125889094,30.074100010097027,7777
25K,14,13307686073,11337179648,True,6.243663169627534,26.45580001990311,10422,True,6.243663169627534,17.839400010416284,4420
25K,15,321712859,7677720066,True,3.8782523586285946,18.098800006555393,9185,True,3.8782523586285946,5.337500013411045,1401
25K,16,3612572282,2236889818,True,7.28399616378675,26.43490000627935,11101,True,7.28399616378675,13.480699999490753,3465
25K,17,3612569333,7710618452,True,9.618167834916855,38.99540001293644,19424,True,9.618167834916855,41.15410000667907,11162
25K,18,6162865105,7713048879,True,6.282928494549155,49.090600019553676,20415,True,6.282928494549155,10.651799995684996,3214
25K,19,13994484623,2234946379,True,4.274589744811727,36.39429999748245,11375,True,4.274589744811727,16.726200003176928,3218
25K,20,11987556629,3612564929,True,2.4630273946112102,7.647299993550405,3836,True,2.4630273946112102,3.700000001117587,999
25K,21,3612572079,2584898243,True,7.561969573275522,35.69300001254305,13123,True,7.561969573275522,29.928700008895248,7285
25K,22,2234830453,11064185666,True,7.843805696931343,60.17839998821728,22231,True,7.843805696931343,35.65969999181107,9509
25K,23,2236890030,1596679883,True,5.0202899326769135,36.75299999304116,17691,True,5.0202899326769135,9.01119998889044,1450
25K,24,2590037484,5764991516,True,7.151261720384085,40.71930001373403,15134,True,7.151261720384085,17.212600010680035,4826
25K,25,1596517443,2241237705,True,7.367129794831378,36.41530001186766,17270,True,7.367129794831378,13.786700001219288,3121
25K,26,3612567705,7960251770,True,5.291066755100575,34.20319998986088,16475,True,5.291066755100575,12.898000015411526,2907
25K,27,2241238106,1316859833,True,9.489375376490957,54.92330002016388,22844,True,9.489375376490957,22.796800010837615,7150
25K,28,13344412537,3612566296,True,4.107897682677475,31.22899998561479,14241,True,4.107897682677475,4.494399996474385,1401
25K,29,6115352053,1891818334,True,6.006948190643096,32.58060000371188,17000,True,6.006948190643096,25.540400005411357,5907
25K,30,2236749673,2236748416,True,4.296661979374013,23.149599990574643,9644,True,4.296661979374013,10.821999981999397,2997
