size,route_id,source,target,dijkstra_found,dijkstra_distance_km,dijkstra_time_ms,dijkstra_nodes_explored,astar_found,astar_distance_km,astar_time_ms,astar_nodes_explored
10K,1,2236748898,1316889079,True,6.802124271469071,14.60560000850819,9013,True,6.802124271469071,11.321400001179427,2450
10K,2,2841179450,2584868578,True,1.41720255802686,3.4548999974504113,1301,True,1.41720255802686,2.270400000270456,614
10K,3,2237001469,3169765039,True,1.6442979207694104,9.508599992841482,2664,True,1.6442979207694104,1.7654999974183738,322
10K,4,2240856467,11840469849,True,1.9266548824688945,9.035399998538196,3057,True,1.9266548824688945,3.0248000111896545,560
10K,5,1360401292,13344492064,True,2.751857281063582,3.2484999974258244,1883,True,2.751857281063582,3.855300019495189,962
10K,6,2623037187,3612563908,True,1.4676039184583412,2.5062999920919538,824,True,1.4676039184583412,0.7699000125285238,159
10K,7,3669834937,3598394725,True,3.883518778680632,15.607799985446036,5681,True,3.883518778680632,9.681600000476465,1910
10K,8,3598395749,2240856754,True,2.477921624070545,6.637799990130588,4255,True,2.477921624070545,2.118400007020682,679
10K,9,9814913042,9035073920,True,5.773751125388076,26.040400000056252,9383,True,5.773751125388076,16.441799991298467,3925
10K,10,2234831802,309700396,True,4.174957142864911,13.079399999696761,6798,True,4.174957142864911,8.688899979460984,2431
10K,11,2236890368,11840427443,True,2.6478374503813495,7.0229000120889395,2637,True,2.6478374503813495,1.5937999996822327,532
10K,12,10185519510,11137757409,True,2.9096423703555434,9.324300015578046,4951,True,2.9096423703555434,5.204999994020909,1179
10K,13,6115416140,13344455019,True,3.1928725706104304,19.71719998982735,5788,True,3.1928725706104304,9.860199992544949,1570
10K,14,2852567193,3598253394,True,3.8891470144819755,7.88950000423938,4377,True,3.8891470144819755,7.822200015652925,1528
10K,15,2234946212,2234830503,True,3.0762340946504216,11.287799978163093,6117,True,3.0762340946504216,5.957199988188222,1016
10K,16,3612565392,2852567155,True,5.46064532959492,16.915899992454797,8877,True,5.46064532959492,15.527899988228455,3913
10K,17,13347235948,2237001380,True,2.8888847465296332,15.016699995612726,5337,True,2.8888847465296332,8.44810000853613,1305
10K,18,2241236706,11840836114,True,2.531235621527155,11.01280000875704,3790,True,2.531235621527155,2.6314000133424997,442
10K,19,1595788682,3671815984,True,5.986789736235099,20.825000014156103,9824,True,5.986789736235099,11.849200003780425,2974
10K,20,11840643625,3612568026,True,1.7131330736311634,2.9340000182855874,2000,True,1.7131330736311634,2.4793999909888953,329
10K,21,3612563193,13737198242,True,2.951961020395577,9.248999995179474,5387,True,2.951961020395577,6.802499992772937,1543
10K,22,3598399771,1316994334,True,5.464527217871272,15.721100004157051,7981,True,5.464527217871272,14.29309998638928,4152
10K,23,7677243992,11563026378,True,2.0250563809138193,2.502699993783608,1492,True,2.0250563809138193,0.7817999867256731,296
10K,24,2234831331,13600532229,True,0.5892861854052637,0.38490002043545246,219,True,0.5892861854052637,0.22960000205785036,81
10K,25,1317176690,3202586906,True,2.101774926608948,7.955100008985028,3951,True,2.101774926608948,4.727399995317683,1187
10K,26,308597335,9798170896,True,5.424871530759128,11.994000000413507,6253,True,5.424871530759128,8.050699980231002,2316
10K,27,11046518238,2841179483,True,5.572611045640859,15.72280001710169,7461,True,5.572611045640859,10.673799988580868,2768
10K,28,3612564715,1316999507,True,1.7442411189819367,5.886099999770522,2968,True,1.7442411189819367,2.3785000084899366,745
10K,29,7677166926,3169765058,False,,19.77469999110326,9893,False,,31.70180000597611,9893
10K,30,1317200066,11137741516,True,1.1591386400850665,5.039499985286966,1768,True,1.1591386400850665,1.624799973797053,358
