route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,2236748898,1316889079,9.370799991302192,5.522099963854998,7.878199976403266,9013,2450,5809,6.802124271469071,6.802124271469071,6.802124271469072,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
2,2841179450,2584868578,1.5734999906271696,1.1655999696813524,1.84009998338297,1301,614,960,1.41720255802686,1.41720255802686,1.4172025580268601,True,True,True,True,2.220446049250313e-16,2.220446049250313e-16
3,2237001469,3169765039,3.5220999852754176,0.7222999702207744,1.8035999964922667,2664,322,1374,1.6442979207694104,1.6442979207694104,1.6442979207694104,True,True,True,True,0.0,0.0
4,2240856467,11840469849,3.8809000398032367,1.5285999979823828,2.2445000358857214,3057,560,1327,1.9266548824688945,1.9266548824688945,1.9266548824688945,True,True,True,True,0.0,0.0
5,1360401292,13344492064,3.6632000119425356,1.9591999589465559,4.029000003356487,1883,962,2078,2.751857281063582,2.751857281063582,2.7518572810635824,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
6,2623037187,3612563908,1.6277999966405332,0.5204000044614077,0.7783999899402261,824,159,599,1.4676039184583412,1.4676039184583412,1.4676039184583416,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
7,3669834937,3598394725,6.225000019185245,7.033900008536875,13.63080000737682,5681,1910,4461,3.883518778680632,3.883518778680632,3.883518778680632,True,True,True,True,0.0,0.0
8,3598395749,2240856754,8.65839998004958,3.7791000213474035,8.615800004918128,4255,679,2688,2.477921624070545,2.477921624070545,2.4779216240705457,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
9,9814913042,9035073920,16.640499990899116,11.647900042589754,18.24589999159798,9383,3925,6406,5.773751125388076,5.773751125388076,5.773751125388076,True,True,True,True,0.0,0.0
10,2234831802,309700396,24.370500002987683,31.688999966718256,11.365499987732619,6798,2431,4969,4.174957142864911,4.174957142864911,4.174957142864912,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
11,2236890368,11840427443,9.164699993561953,2.4443999864161015,2.976000017952174,2637,532,1810,2.6478374503813495,2.6478374503813495,2.64783745038135,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
12,10185519510,11137757409,6.526700046379119,3.200399980414659,7.767600007355213,4951,1179,3157,2.9096423703555434,2.9096423703555434,2.909642370355543,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
13,6115416140,13344455019,13.029800029471517,4.103099985513836,12.08989997394383,5788,1570,3812,3.1928725706104304,3.1928725706104304,3.1928725706104295,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
14,2852567193,3598253394,8.125299995299429,5.297299998346716,7.273700030054897,4377,1528,2902,3.8891470144819755,3.8891470144819755,3.889147014481977,True,True,True,True,1.3322676295501878e-15,1.3322676295501878e-15
15,2234946212,2234830503,11.6351000033319,4.458000010345131,6.020099972374737,6117,1016,3085,3.0762340946504216,3.0762340946504216,3.0762340946504225,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
16,3612565392,2852567155,14.884000003803521,11.279200029093772,15.507099975366145,8877,3913,6508,5.46064532959492,5.46064532959492,5.460645329594922,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
17,13347235948,2237001380,10.948300012387335,5.700900044757873,10.59210003586486,5337,1305,3669,2.8888847465296332,2.8888847465296332,2.8888847465296337,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
18,2241236706,11840836114,6.994399998802692,2.475299988873303,4.924000008031726,3790,442,1970,2.531235621527155,2.531235621527155,2.5312356215271556,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
19,1595788682,3671815984,19.529699988197535,15.536499966401607,19.193399988580495,9824,2974,5402,5.986789736235099,5.986789736235099,5.986789736235099,True,True,True,True,0.0,0.0
20,11840643625,3612568026,4.478099988773465,1.9977999618276954,2.7510999934747815,2000,329,798,1.7131330736311634,1.7131330736311634,1.713133073631163,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
21,3612563193,13737198242,11.111200030427426,6.542199989780784,10.618799948133528,5387,1543,3144,2.951961020395577,2.951961020395577,2.9519610203955766,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
22,3598399771,1316994334,14.784600003622472,14.9729999830015,18.520499987062067,7981,4152,7527,5.464527217871272,5.464527217871272,5.464527217871275,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
23,7677243992,11563026378,2.5640999665483832,0.9820999694056809,1.3476999592967331,1492,296,686,2.0250563809138193,2.0250563809138193,2.02505638091382,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
24,2234831331,13600532229,0.5495999939739704,0.38490002043545246,0.44380000326782465,219,81,104,0.5892861854052637,0.5892861854052637,0.5892861854052638,True,True,True,True,1.1102230246251565e-16,1.1102230246251565e-16
25,1317176690,3202586906,6.6911999601870775,3.1911000260151923,4.266600008122623,3951,1187,2110,2.101774926608948,2.101774926608948,2.101774926608948,True,True,True,True,0.0,0.0
26,308597335,9798170896,8.373200020287186,7.62140000006184,14.06489999499172,6253,2316,6595,5.424871530759128,5.424871530759128,5.424871530759126,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
27,11046518238,2841179483,10.351600009016693,7.096400018781424,10.655199992470443,7461,2768,6664,5.572611045640859,5.572611045640859,5.572611045640861,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
28,3612564715,1316999507,4.121700010728091,1.7028999864123762,2.80770001700148,2968,745,1853,1.7442411189819367,1.7442411189819367,1.7442411189819365,True,True,True,True,2.220446049250313e-16,2.220446049250313e-16
29,7677166926,3169765058,14.598999987356365,25.411800015717745,14.029700017999858,9893,9893,9904,,,,False,False,False,False,,
30,1317200066,11137741516,3.145699971355498,1.7160999705083668,1.7385000246576965,1768,358,793,1.1591386400850665,1.1591386400850665,1.1591386400850667,True,True,True,True,2.220446049250313e-16,2.220446049250313e-16
