route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,3998481616,1596097249,106.12529999343678,88.81169999949634,218.43519998947158,81998,26680,61695,11.555175012351047,11.555175012351047,11.55517501235105,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
2,2241238540,660116068,205.2541999728419,27.62760000769049,106.66350001702085,63359,9243,33586,9.354831326532484,9.354831326532484,9.354831326532484,True,True,True,True,0.0,0.0
3,2593875280,6150804680,138.4338000207208,17.216900014318526,64.98330004978925,68457,7218,32765,8.515842736216095,8.515842736216095,8.515842736216097,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
4,7680080587,2225281676,120.14670000644401,62.77530000079423,95.89950001100078,83848,25106,55727,14.492028178025498,14.492028178025498,14.492028178025507,True,True,True,True,8.881784197001252e-15,8.881784197001252e-15
5,13368900278,7246509961,20.147599978372455,3.9620999596081674,13.459199981298298,15900,1912,8461,4.687451581733316,4.687451581733316,4.687451581733317,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
6,3249116312,13380829245,100.65490001579747,54.150499985553324,95.19449999788776,73916,25063,58704,14.642768334719483,14.642768334719483,14.642768334719479,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
7,11043456018,4019466739,30.877499957568944,15.560799976810813,21.444500016514212,24072,6851,13577,5.70867547300046,5.70867547300046,5.708675473000462,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
8,7709840022,3598387463,89.05379998032004,40.95890000462532,81.64899999974295,71572,17825,47368,12.108589714758914,12.108589714758914,12.108589714758917,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
9,1596679940,312810341,14.936099993065,4.253999970387667,9.081099997274578,13537,1386,6043,3.5457274037004485,3.5457274037004485,3.545727403700449,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
10,1437371646,2243961209,107.41449997294694,67.35750002553686,84.86369997262955,81445,30121,53323,13.024288184149626,13.024288184149626,13.024288184149626,True,True,True,True,0.0,0.0
11,2245835067,2231827225,118.84119996102527,83.7974000023678,110.56190001545474,89774,35638,65678,14.258683578290638,14.258683578290638,14.25868357829064,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
12,7713503463,2243963278,129.76009998237714,64.18960000155494,108.73139998875558,92984,29284,67330,14.379002866643859,14.379002866643859,14.379002866643848,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
13,7571886883,6884627364,108.29929995816201,70.1755000045523,113.18789998767897,85934,29805,67644,17.752039410166084,17.752039410166084,17.752039410166084,True,True,True,True,0.0,0.0
14,3216871989,2245995288,73.9845999632962,23.874900012742728,58.6155999917537,58125,10577,34680,8.608263131439186,8.608263131439186,8.608263131439191,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
15,12017138664,12898732304,18.723400018643588,4.3194000027142465,17.635099997278303,14506,2032,11966,4.773891403721447,4.773891403721447,4.773891403721446,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
16,3598382021,2243961925,26.389300008304417,13.367999985348433,30.863800027873367,21353,5865,15106,7.324241188573002,7.324241188573002,7.324241188573005,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
17,3612554453,7710064288,125.65319996792823,77.24020001478493,121.86390004353598,91483,32611,70981,15.019703210671409,15.019703210671409,15.01970321067141,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
18,3626203840,1277837906,116.42699997173622,25.898799998685718,92.85320003982633,87880,9402,55202,11.377326834746734,11.377326834746734,11.377326834746722,True,True,True,True,1.2434497875801753e-14,1.2434497875801753e-14
19,13964353659,2234499224,94.59950000746176,31.35090001160279,65.76299999142066,70989,13700,35993,8.553535319551766,8.553535319551766,8.553535319551768,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
20,12872717562,3598398127,108.85250003775582,67.74530000984669,81.01679995888844,81970,27002,46083,13.403700487816833,13.403700487816833,13.403700487816831,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
