route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,bidirectional_astar_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,bidirectional_astar_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,bidirectional_astar_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,bidirectional_astar_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,5316160508,2225436126,1458.6828000028618,719.7304000146687,1714.3731999676675,13305.463000026066,338570,78962,255331,807568,23.298758754270587,23.298758754270587,23.298758754270587,23.298758754270587,True,True,True,True,True,0.0,0.0
2,3602303338,12056943227,1822.6494999835268,897.2631999640726,1552.1312999771908,11696.226300031412,414678,109263,281303,883510,27.556881372655372,27.556881372655372,27.556881372655383,27.556881372655372,True,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
3,11830305793,2795778783,1738.3840999682434,323.71289998991415,1076.7970000160858,10277.798799972516,371455,33937,186398,623500,18.217095463698552,18.217095463698552,18.21709546369855,18.217095463698552,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
4,2786022840,2244373453,1014.6023000124842,452.9985999688506,1445.603600004688,11422.746199998073,289298,55205,234439,723752,21.16676309693438,21.16676309693438,21.166763096934403,21.16676309693438,True,True,True,True,True,2.4868995751603507e-14,2.4868995751603507e-14
5,7682112481,2221879074,1377.08449998172,480.039999994915,929.9771999940276,12834.317000000738,359570,97116,271898,818990,25.265765848379477,25.265765848379477,25.265765848379495,25.265765848379477,True,True,True,True,True,1.7763568394002505e-14,1.7763568394002505e-14
6,7674099365,4204326559,647.537300013937,107.34819999197498,258.1863999948837,2029.7942999750376,220948,22697,85445,231650,18.589959417852185,18.589959417852185,18.589959417852192,18.589959417852185,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
7,12012116071,7686810081,1522.9193000122905,735.0149000412785,795.683900010772,6095.122899976559,305877,71458,124318,404958,20.456212036891607,20.456212036891607,20.456212036891614,20.456212036891607,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
8,1779029060,3612563121,199.95219999691471,49.41899998812005,104.81200000504032,1021.7709999997169,58655,7799,26515,96326,6.316326233063348,6.316326233063348,6.316326233063346,6.316326233063348,True,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
9,7691458321,3612538211,1122.3193999612704,381.32629997562617,814.5099999965169,8308.521600032691,292971,52821,166747,578004,19.827757477641523,19.827757477641523,19.827757477641526,19.827757477641523,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
10,366528808,1952160041,1059.5333999954164,282.27660001721233,696.6226999647915,5757.9211999545805,254774,40716,125195,452776,15.371846293965586,15.371846293965586,15.371846293965584,15.371846293965586,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
11,2783285465,2794281205,430.88379997061566,215.70449997670949,468.65080000134185,5170.187099953182,184715,44070,128431,389252,18.243209368418658,18.243209368418658,18.24320936841866,18.243209368418658,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
12,3614582630,11478700708,616.7806000448763,129.96130000101402,846.9738999847323,6613.06499998318,148742,22536,203334,502270,20.278124785392226,20.278124785392226,20.278124785392215,20.278124785392226,True,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
13,11152941639,4180624939,230.36009998759255,86.60330000566319,156.15679998882115,830.7672000373714,136607,20023,51199,128570,12.67082036032988,12.67082036032988,12.670820360329873,12.67082036032988,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
14,7709397841,7668377794,1214.2118999618106,170.0818000244908,742.160799971316,4103.338900022209,466964,53499,263346,752418,29.348579150445264,29.348579150445264,29.348579150445236,29.348579150445264,True,True,True,True,True,2.842170943040401e-14,2.842170943040401e-14
15,6117689678,7642520568,763.8713999767788,295.2932000043802,674.2678000009619,5769.42050002981,460510,108020,313799,953284,29.66720529116401,29.66720529116401,29.667205291163995,29.66720529116401,True,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
16,3939234336,7675830241,936.7935999762267,303.17480000667274,762.3470000107773,5037.158000050113,436907,89637,273111,888684,28.646447597573665,28.646447597573665,28.646447597573694,28.646447597573665,True,True,True,True,True,2.842170943040401e-14,2.842170943040401e-14
17,3598283504,11462430225,747.6643000263721,228.25970000121742,580.9645000263117,4432.386900007259,431947,82983,266328,791620,29.882711579345752,29.882711579345752,29.882711579345766,29.882711579345752,True,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
