route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,6308232683,1610991622,13.173900020774454,15.536300023086369,24.295700015500188,8558,3418,10429,6.163376105892431,6.163376105892431,6.163376105892427,True,True,True,True,4.440892098500626e-15,4.440892098500626e-15
2,3598256371,13400278137,43.164099974092096,34.232999954838306,39.83620001235977,23418,8950,12990,10.015736367478453,10.015736367478453,10.015736367478453,True,True,True,True,0.0,0.0
3,2584868596,3612563541,45.43739999644458,4.702400008682162,26.17849997477606,22124,1456,13307,6.6248355774648715,6.6248355774648715,6.6248355774648715,True,True,True,True,0.0,0.0
4,2236890105,2234831828,30.443599971476942,5.562199978157878,21.78680000361055,20306,2421,14300,5.683304560184576,5.683304560184576,5.6833045601845775,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
5,13397018294,1596679795,26.16799995303154,7.546000008005649,13.041400001384318,22517,3834,9635,8.562886263386861,8.562886263386861,8.562886263386865,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
6,11865784763,13399536740,27.896400017198175,29.63339997222647,26.274100004229695,23840,14264,17954,10.558687829617318,10.558687829617318,10.558687829617316,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
7,10244212010,1594509942,17.7776999771595,16.652200021781027,21.451699954923242,17513,4524,10920,7.357142968534771,7.357142968534771,7.357142968534771,True,True,True,True,0.0,0.0
8,2585272013,3612562498,17.051899980288,6.983599974773824,10.212900000624359,11988,3109,7007,5.24915568695972,5.24915568695972,5.249155686959719,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
9,2236748143,1939362373,16.43970003351569,20.164099987596273,26.740900008007884,15361,8557,16785,8.5228285731808,8.5228285731808,8.5228285731808,True,True,True,True,0.0,0.0
10,1595259542,2236749674,22.854899987578392,6.858100008685142,15.737699985038489,16983,3085,10631,7.346393860704921,7.346393860704921,7.346393860704921,True,True,True,True,0.0,0.0
11,2237001644,7328763338,3.9955000393092632,1.132100005634129,1.8353999475948513,3465,473,1288,2.2553895607200953,2.2553895607200953,2.2553895607200944,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
12,11900664533,2240856270,26.229599956423044,11.008000001311302,18.906100012827665,23295,5067,13156,9.06010725239109,9.06010725239109,9.060107252391088,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
13,7677199885,2241238841,29.99790001194924,17.194400017615408,23.27740000328049,24834,7777,14493,8.539843125889094,8.539843125889094,8.539843125889087,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
14,13307686073,11337179648,10.949500021524727,8.661000058054924,15.731299994513392,10422,4420,10024,6.243663169627534,6.243663169627534,6.243663169627537,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
15,321712859,7677720066,9.493399993516505,2.691799949388951,3.530199988745153,9185,1401,2963,3.8782523586285946,3.8782523586285946,3.8782523586285933,True,True,True,True,1.3322676295501878e-15,1.3322676295501878e-15
